date,trend
2008-08-17,1
2008-08-25,4
2008-09-13,4
2008-09-21,5
2008-09-27,5
2008-10-04,8
2008-10-18,8
2008-10-25,9
2008-10-29,9
2008-11-01,9
2008-11-08,9
2008-11-15,9
2008-11-22,10
2008-11-30,13
2008-12-06,13
2008-12-13,14
2008-12-26,17
2008-12-29,17
2009-01-11,17
2009-01-14,17
2009-01-17,20
2009-01-27,23
2009-01-31,23
2009-02-08,26
2009-02-18,26
2009-02-21,26
2009-03-04,29
2009-03-14,32
2009-03-21,32
2009-04-05,32
2009-04-11,35
2009-04-22,35
2009-04-25,35
2009-05-02,38
2009-05-10,38
2009-05-13,41
2009-05-16,42
2009-05-24,45
